date,name,submitted_by,result_url,course_url
23/06/2024,Butrail - 15 km 2024,Misaotra,http://https://s2.static-clubeo.com/uploads/usmeryac/Medias/R%C3%A9sultats%202024/BUTRAIL%202024%20-%20Classement%20Scratch__sfq41x.pdf,https://www.kikourou.net/calendrier/course-200738-butrail_-_15_km-2024.html
31/08/2024,24 heures de Villenave d'Ornon 2024,marathon-Yann,http://https://chrono33.fr/24h_CAV/resultats/resultats.html?page=24044_24C,https://www.kikourou.net/calendrier/course-202266-24_heures_de_villenave_d_ornon-2024.html
10/08/2024,Marathon pour Tous - Paris 2024 2024,littlewhite,http://https://mpt.toubiana.fr/,https://www.kikourou.net/calendrier/course-199450-marathon_pour_tous_-_paris_2024-2024.html
10/08/2024,Marathon pour Tous - Paris 2024 2024,littlewhite,http://https://mpt.toubiana.fr/,https://www.kikourou.net/calendrier/course-199450-marathon_pour_tous_-_paris_2024-2024.html
05/05/2024,Marathon de Copenhague 2024,Okagawa,http://https://live.ultimate.dk/desktop/front/?eventid=6087&ignoreuseragent=true,https://www.kikourou.net/calendrier/course-198183-marathon_de_copenhague-2024.html
05/05/2024,Marathon de Copenhague 2024,Okagawa,http://https://resultater.copenhagenmarathon.dk/runner/category/all,https://www.kikourou.net/calendrier/course-198183-marathon_de_copenhague-2024.html
02/06/2024,Les Foulées des Isles - Semi-Marathon 2024,laubcqn,http://https://drive.google.com/file/d/1HHNahE7GXHb2b_AfLiOjrO2dm_YH3eCT/view,https://www.kikourou.net/calendrier/course-205095-les_fouln_es_des_isles_-_semi-marathon-2024.html
21/07/2024,Ultra Tour des 4 Massifs - 20 Chartreuse 2024,znarf,http://https://livetrail.net/histo/ut4m_2024/classement.php?course=20C&cat=scratch,https://www.kikourou.net/calendrier/course-201154-ultra_tour_des_4_massifs_-_20_chartreuse-2024.html
21/07/2024,Ultra Tour des 4 Massifs - 20 Chartreuse 2024,znarf,http://https://ut4m.v3.livetrail.net/fr/2024/ranking?raceId=20C,https://www.kikourou.net/calendrier/course-201154-ultra_tour_des_4_massifs_-_20_chartreuse-2024.html
04/08/2024,EDF Cenis Tour - Trail rouge 59 km 2024,PhilippeG-640,http://live.l-chrono.com/resultats/trail-edf-cenis-tour-2024,https://www.kikourou.net/calendrier/course-207482-edf_cenis_tour_-_trail_rouge_59_km-2024.html
14/06/2024,La Noctureine - 10 km 2024,LE FLOHIC Thierry,http://https://https://adeochrono.fr/index.php/2024-resultats-la-noctureine/,https://www.kikourou.net/calendrier/course-205705-la_noctureine_-_10_km-2024.html
14/06/2024,La Noctureine - 10 km 2024,LE FLOHIC Thierry,http://https://https://adeochrono.fr/index.php/2024-resultats-la-noctureine-5km/,https://www.kikourou.net/calendrier/course-205705-la_noctureine_-_10_km-2024.html
21/04/2024,Marathon International Alexandre le Grand 2024,Remis,http://https://www.alexanderthegreatmarathon.org/entries/index.php/results-2024/marathon,https://www.kikourou.net/calendrier/course-204580-marathon_international_alexandre_le_grand-2024.html
21/04/2024,Marathon International Alexandre le Grand 2024,Remis,http://https://www.alexanderthegreatmarathon.org/entries/index.php/results-2024/marathon,https://www.kikourou.net/calendrier/course-204580-marathon_international_alexandre_le_grand-2024.html
05/05/2024,Les Foulées de Gruffy - 31 km 2024,TO74,http://https://live.l-chrono.com/resultats/foulees-de-gruffy-2024,https://www.kikourou.net/calendrier/course-204960-les_fouln_es_de_gruffy_-_31_km-2024.html
01/06/2024,La Céttoise - 10 km 2024,fabienhumel,http://https://www.ats-sport.com/resultats_epreuve.php?epreuve=8238&parcours=21193,https://www.kikourou.net/calendrier/course-205894-la_cn_ttoise_-_10_km-2024.html
15/06/2024,Ultra 01 XT Experience - 100 km 2024,Leg,http://www.betrail.run/race/tiger.balm.ultra.01/2024/94km/results,https://www.kikourou.net/calendrier/course-198911-ultra_01_xt_experience_-_100_km-2024.html
30/03/2024,La Diabolik de Ragnar 2024,Leg,http://www.timepulse.fr/epreuves/resultats/2171,https://www.kikourou.net/calendrier/course-191689-la_diabolik_de_ragnar-2024.html
30/03/2024,La Diabolik de Ragnar 2024,Leg,http://www.timepulse.fr/epreuves/resultats/1858,https://www.kikourou.net/calendrier/course-191689-la_diabolik_de_ragnar-2024.html
30/03/2024,La Diabolik de Ragnar 2024,Leg,http://https://www.timepulse.fr/epreuves/resultats/1858,https://www.kikourou.net/calendrier/course-191689-la_diabolik_de_ragnar-2024.html
28/06/2024,90 km du Mont-Blanc 2024,Ptigeorges,http://https://www.marathonmontblanc.fr/sites/default/files/2024-07/mbm_2024_classement_90km_scratch%20%281%29.pdf,https://www.kikourou.net/calendrier/course-198260-90_km_du_mont-blanc-2024.html
14/07/2024,Trail des Passerelles du Monteynard - 42 km 2024,alexmollet,http://https://my1.raceresult.com/297284/RRPublish/data/pdf?name=04%20-%20Classements%20Jour%20J%7CIndividuel%20-%20G%C3%A9n%C3%A9ral&contest=10&lang=fr,https://www.kikourou.net/calendrier/course-205792-trail_des_passerelles_du_monteynard_-_42_km-2024.html
14/07/2024,Les Foulées Dammartinoises - 10 km 2024,defi13,http://https://bases.athle.fr/asp.net/liste.aspx?_sc=MzE1NDMzNiMxMDg4NTA%3D&frmbase=resultats&frmcompetition=282295&frmespace=0&frmmode=1&frmposition=0,https://www.kikourou.net/calendrier/course-207002-les_fouln_es_dammartinoises_-_10_km-2024.html
22/06/2024,Trail de la Petite Sensee - 11 km 2024,Tillo,http://https://www.nordsport-chronometrage.fr/wp-content/glive-results/resultats-tdlps-2024/resultats-la-brunehaut-11-km.pdf,https://www.kikourou.net/calendrier/course-206728-trail_de_la_petite_sensee_-_11_km-2024.html
18/05/2024,Le Grand Prix de Berne 2024,pauline05,http://https://https://trackmaxx.ch/results/?race=gp24,https://www.kikourou.net/calendrier/course-203261-le_grand_prix_de_berne-2024.html
07/07/2024,Semi-Marathon Bédoin Ventoux 2024,Régis Cahn,http://https://www.semi-montventoux.com/_files/ugd/6ac163_a8ab494610344e28b4099162db308b0e.pdf,https://www.kikourou.net/calendrier/course-206962-semi-marathon_bn_doin_ventoux-2024.html
07/07/2024,Les Foulées France des Iles - 10 km 2024,fred1702,http://https://protiming.fr/results/runningR/7263-Les-Foulees-d-Ile-de-France-France-des-Iles/6?dossard_filter=&last_name_filter=&first_name_filter=&club_filter=&categorie_filter=,https://www.kikourou.net/calendrier/course-203991-les_fouln_es_france_des_iles_-_10_km-2024.html
06/07/2024,La Course des Sabotiers 2024,defi13,http://https://www.chronolap.net/la-course-des-sabotiers,https://www.kikourou.net/calendrier/course-206881-la_course_des_sabotiers-2024.html
23/06/2024,Le Sentier des Ours - 13 km 2024,Lulastron,http://blob:https://www.lafouleeblanche.com/7616c871-b01f-42a8-b05b-916619358b9e,https://www.kikourou.net/calendrier/course-203133-le_sentier_des_ours_-_13_km-2024.html
15/06/2024,Les Etoiles de Gimel - 9 km 2024,kfe,http://https://chronopuces.fr/course-resultats.php?id=228&m=4&dist=679&cat=all&s=all,https://www.kikourou.net/calendrier/course-202653-les_etoiles_de_gimel_-_9_km-2024.html
16/06/2024,Maratrail du Saint Jacques  - 51 km 2024,wakayama,http://https://saint-jacques.utmb.world/fr/races-runners/runners/results?year=2024&raceUri=4004.traildusaint-jacquesbyutmb-maratrail-50k.2024,https://www.kikourou.net/calendrier/course-198902-maratrail_du_saint_jacques_-_51_km-2024.html
21/04/2024,Marathon de Nantes 2024,jrboquet,http://https://www.sportinnovation.fr/Evenements/Resultats/6362,https://www.kikourou.net/calendrier/course-197137-marathon_de_nantes-2024.html
12/06/2024,La Course des Agents Départementaux 2024,lio05,http://https://,https://www.kikourou.net/calendrier/course-207381-la_course_des_agents_dn_partementaux-2024.html
