competition_name,distance,date,competition_type,location,ligue,department,type,level,Nombre_Coureur
Cross de la loire sauvage,"1390.0, 2810.0, 4000.0, 4290.0, 4510.0, 6900.0",07/01/24,Cross,Brives charensac,ARA,43.0,Meet,Dép,163
Cross de la sabliere,"1000.0, 11100.0, 1500.0, 2800.0, 6000.0",04/02/24,Cross,Viroflay,I-F,78.0,Meet,Dép,1096
Cross de la saucisse,"1480.0, 2200.0, 2420.0, 4080.0",01/11/24,Cross,Anduze,OCC,30.0,Meet,Dép,158
Cross de la seulles,"0.0, 2430.0, 3600.0, 3930.0, 6370.0, 8390.0",24/11/24,Cross,Tilly sur seulles,NOR,14.0,Meet,Rég,335
Cross de la seyne,"1260.0, 2020.0, 2650.0, 3030.0, 3620.0, 4250.0, 500.0, 6230.0, 6850.0, 8840.0",10/11/24,Cross,La seyne sur mer,PCA,83.0,Meet,Rég,671
Cross de la ville de saint égrève - 30ème édition,,,Cross,Saint egreve,ARA,38.0,Meet,Rég,0
Cross de limoux,"2500.0, 3600.0, 4650.0, 5100.0, 6800.0, 8500.0",14/01/24,Cross,Limoux,OCC,11.0,Meet,Dép,104
"Cross de muret, ch dep 31 cross","1320.0, 2760.0, 3265.0, 3540.0, 3945.0, 5910.0, 7350.0, 8535.0",14/01/24,Cross,Muret,OCC,31.0,,Dép,725
Cross de nouzonville,"1400.0, 2700.0, 4300.0, 6300.0, 8200.0",04/02/24,Cross,Nouzonville,G-E,8.0,Meet,Dép,224
Cross de saint georges de mons,"1000.0, 1700.0, 2500.0, 3400.0, 5000.0, 6200.0, 8700.0",21/01/24,Cross,Saint georges de mons,ARA,63.0,Meet,Dép,281
Cross de saint-gence,"1495.0, 2440.0, 3000.0, 3940.0, 4500.0, 6000.0, 940.0",20/01/24,Cross,Saint gence,N-A,87.0,Meet,Dép,290
Cross de tournus,"2740.0, 9380.0",25/02/24,Cross,Tournus,BFC,71.0,Cham,Dép,80
Cross de vieux-bourg,"1055.0, 1084.0, 2110.0, 2652.0, 3165.0, 3166.0, 4220.0",27/10/24,Cross,Morne a l'eau,GUA,971.0,Meet,Dép,229
Cross de witry-lès-reims,"1400.0, 1800.0, 2900.0, 5000.0, 800.0",10/03/24,Cross,Witry les reims,G-E,51.0,Meet,Dép,85
Cross departemental creusois,"2700.0, 3900.0, 6500.0, 8000.0, 900.0",14/01/24,Cross,Champagnat,N-A,23.0,,Dép,89
Cross des iles,"1000.0, 1400.0, 2100.0, 2800.0, 3000.0, 3500.0, 4800.0, 8500.0, 9500.0",01/12/24,Cross,Cannes,PCA,6.0,Meet,Rég,1274
Cross des jeunes,"1000.0, 1080.0, 1100.0, 1690.0, 1740.0, 2000.0, 2400.0, 2560.0, 3200.0, 3480.0, 800.0",04/02/24,Cross,Saint germain du bel air,OCC,46.0,Meet,Dép,197
